Run,Dataset,Initial Stress,"""True"" Stress",Kruskal,MMRE False,MMRE Missing,Steadiness,Cohesiveness,KL Divergence,Shepard,Trustworthiness,Continuity,Neighborhood Hit,Pearson
1,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
2,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
3,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
4,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
5,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
6,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
7,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
8,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
9,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
10,spambase,"mds, random, tsne","mds, tsne, random","mds, tsne, random","random, mds, tsne","random, mds, tsne","random, mds, tsne","random, tsne, mds","mds, tsne, random","mds, tsne, random","tsne, mds, random","tsne, mds, random","tsne, mds, random","mds, tsne, random"
