Run,Dataset,Initial Stress,"""True"" Stress",Kruskal,MMRE False,MMRE Missing,Steadiness,Cohesiveness,KL Divergence,Shepard,Trustworthiness,Continuity,Neighborhood Hit,Pearson
1,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
2,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
3,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
4,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
5,spambase,"mds, random, umap","mds, umap, random","mds, umap, random","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
6,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
7,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
8,spambase,"mds, random, umap","mds, umap, random","mds, umap, random","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
9,spambase,"mds, random, umap","mds, umap, random","mds, random, umap","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
10,spambase,"mds, random, umap","mds, umap, random","mds, umap, random","random, mds, umap","random, mds, umap","random, mds, umap","random, umap, mds","mds, umap, random","mds, umap, random","umap, mds, random","umap, mds, random","umap, mds, random","mds, umap, random"
